cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M1-1,direct,select-only,100,10,simple,False,120,5,measured,25405.035073,24068.165286,25509.585626,0.02451713813422617,,,,
M1-1,odyssey,select-only,100,10,simple,False,120,5,measured,11331.231417,11260.28364,11489.694242,0.007436528991157862,,,,
M1-1,pgagroal,select-only,100,10,simple,False,120,5,measured,1532.053875,1396.054607,2051.393094,0.1641475669897064,,,,
M1-1,pgbouncer,select-only,100,10,simple,False,120,5,measured,17117.380195,17047.450127,17344.156695,0.006613452180159018,,,,
M1-1,pgcat,select-only,100,10,simple,False,120,5,measured,19579.167029,19506.320689,19856.403039,0.007270539423170083,,,,
M1-1,pgpool,select-only,100,10,simple,False,120,5,measured,16712.28225,15410.125695,16829.291307,0.03958060016971978,,,,
M1-2,direct,tpcb-like,50,10,simple,False,120,5,measured,6626.070454,2712.817132,6987.102217,0.3825064278298613,,,,
M1-2,odyssey,tpcb-like,50,10,simple,False,120,5,measured,4537.732931,2048.058918,5222.723414,0.3866044694361143,,,,
M1-2,pgagroal,tpcb-like,50,10,simple,False,120,5,measured,1120.265641,392.711012,1375.982769,0.5216225566400357,,,,
M1-2,pgbouncer,tpcb-like,50,10,simple,False,120,5,measured,4815.110093,2234.292681,5245.395816,0.39017189133546354,,,,
M1-2,pgcat,tpcb-like,50,10,simple,False,120,5,timeout/inconclusive,,,,,,,,
M1-2,pgpool,tpcb-like,50,10,simple,False,120,5,measured,4248.30764,2341.603084,4797.934647,0.32705381809070355,,,,
M1-3,direct,tpcb-like,50,10,prepared,False,60,3,measured,4068.05665,4033.039921,4075.92611,0.0056245919008578536,,,,
M1-3,odyssey,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M1-3,pgagroal,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M1-3,pgbouncer,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M1-3,pgcat,tpcb-like,50,10,prepared,False,60,3,timeout/inconclusive,,,,,,,,
M1-3,pgpool,tpcb-like,50,10,prepared,False,60,3,measured,1896.227943,1778.284382,1963.365609,0.049856852219047995,,,,
M1-4,direct,select-only,200,10,simple,False,60,3,timeout/inconclusive,,,,,,,,
M1-4,odyssey,select-only,200,10,simple,False,60,3,measured,5142.454638,4831.660228,11507.314474,0.5261770239343231,,,,
M1-4,pgagroal,select-only,200,10,simple,False,60,3,timeout/inconclusive,,,,,,,,
M1-4,pgbouncer,select-only,200,10,simple,False,60,3,measured,7073.605591,7056.030938,17385.768297,0.5672282928014224,,,,
M1-4,pgcat,select-only,200,10,simple,False,60,3,measured,9837.579344,9750.451538,19497.929024,0.43003112886773653,,,,
M1-4,pgpool,select-only,200,10,simple,False,60,3,timeout/inconclusive,,,,,,,,
M1-5,direct,simple-update,100,20,simple,False,60,3,measured,10467.680111,9328.726709,10604.895348,0.06913058478340033,,,,
M1-5,odyssey,simple-update,100,20,simple,False,60,3,measured,7481.456628,7305.99103,7548.616825,0.01682619463656962,,,,
M1-5,pgagroal,simple-update,100,20,simple,False,60,3,measured,332.101502,122.024945,482.76923,0.5801679518255669,,,,
M1-5,pgbouncer,simple-update,100,20,simple,False,60,3,measured,7051.986587,6667.573867,7098.320477,0.03407463171018036,,,,
M1-5,pgcat,simple-update,100,20,simple,False,60,3,measured,7217.102444,7191.21828,7356.121975,0.012224228237804948,,,,
M1-5,pgpool,simple-update,100,20,simple,False,60,3,measured,6785.796626,6766.366958,7324.479154,0.04551972861512817,,,,
M1-6,direct,select-only,100,10,simple,True,60,3,timeout/inconclusive,,,,,,,,
M1-6,odyssey,select-only,100,10,simple,True,60,3,timeout/inconclusive,,,,,,,,
M1-6,pgagroal,select-only,100,10,simple,True,60,3,timeout/inconclusive,,,,,,,,
M1-6,pgbouncer,select-only,100,10,simple,True,60,3,timeout/inconclusive,,,,,,,,
M1-6,pgcat,select-only,100,10,simple,True,60,3,timeout/inconclusive,,,,,,,,
M1-6,pgpool,select-only,100,10,simple,True,60,3,timeout/inconclusive,,,,,,,,
M1-7,direct,tpcb-like,100,10,simple,False,60,3,measured,3354.636948,3334.344552,3428.371655,0.014671852532762944,,,,
M1-7,odyssey,tpcb-like,100,10,simple,False,60,3,measured,3179.268295,3139.917779,3182.509741,0.007486099481453041,,,,
M1-7,pgagroal,tpcb-like,100,10,simple,False,60,3,measured,306.024942,297.645707,402.588554,0.17387344610324046,,,,
M1-7,pgbouncer,tpcb-like,100,10,simple,False,60,3,measured,2950.996026,2907.320582,2989.30725,0.013909690916169642,,,,
M1-7,pgcat,tpcb-like,100,10,simple,False,60,3,measured,2990.605785,2976.055743,3005.002996,0.0048398021466856045,,,,
M1-7,pgpool,tpcb-like,100,10,simple,False,60,3,measured,2512.749189,2474.835752,2553.146552,0.015580172196428531,,,,
